SampleID;Type;Category
EB11_S84;Wild;Wild
EB12_S85;Wild;Wild
EB13_S86;Wild;Wild
EB14_S87;Wild;Wild
EB15_S88;Wild;Wild
EB16_S89;Wild;Wild
EB17_S90;Wild;Wild
EB18_S91;Wild;Wild
EB19_S92;Wild;Wild
EB1_S114;Wild;Wild
EB20_S93;Wild;Wild
EB21_S94;Wild;Wild
EB22_S95;Wild;Wild
EB24_S96;Captive;Early_captive
EB25_S97;Captive;Founders_wildborn
EB26_S98;Captive;Early_captive
EB27_S99;Captive;Early_captive
EB28_S100;Captive;Founders_wildborn
EB29_S101;Captive;Early_captive
EB2_S115;Wild;Wild
EB30_S102;Captive;Founders_wildborn
EB31_S103;Captive;Founders_wildborn
EB32_S104;Captive;Founders_wildborn
EB33_S105;Captive;Early_captive
EB34_S106;Captive;Early_captive
EB35_S107;Captive;Founders_wildborn
EB37_S108;Captive;Late_captive
EB38_S109;Captive;Late_captive
EB39_S110;Captive;Late_captive
EB3_S116;Wild;Wild
EB40_S111;Captive;Late_captive
EB41_S112;Captive;Late_captive
EB42_S113;Captive;Late_captive
EB6_S117;Wild;Wild
EB7_S118;Wild;Wild
EB8_S119;Wild;Wild
EB9_S83;Wild;Wild
