;Scaffold;BEGIN;END;EB1_S114;EB11_S84;EB12_S85;EB13_S86;EB14_S87;EB15_S88;EB16_S89;EB17_S90;EB18_S91;EB19_S92;EB2_S115;EB20_S93;EB21_S94;EB22_S95;EB24_S96;EB25_S97;EB26_S98;EB27_S99;EB28_S100;EB29_S101;EB3_S116;EB30_S102;EB31_S103;EB32_S104;EB33_S105;EB34_S106;EB35_S107;EB37_S108;EB38_S109;EB39_S110;EB40_S111;EB41_S112;EB42_S113;EB6_S117;EB7_S118;EB8_S119;EB9_S83
1;NC_072852.1;0;1000000;0,00177863;0,00193996;0,00139705;0,00168406;0,00131491;0,00175958;0,0017964;0,00173915;0,00137423;0,00166097;0,00176659;0,00135412;0,000788943;0,00155681;0,00160526;0,00167307;0,00175517;0,00195469;0,000740939;0,000839135;0,00193563;0,000767696;0,00176223;0,00195436;0,00172266;0,00171597;0,00211546;0,00211182;0,00155081;0,000801528;0,000426598;0,00203836;0,00177334;0,00153067;0,00154571;0,00175074;0,00150376
2;NC_072852.1;1000000;2000000;0,00240078;0,00234299;0,00195152;0,00106115;0,0017033;0,00209307;0,00245847;0,0018374;0,000780804;0,00134562;0,00125228;0,0020594;0,00177029;0,00203854;0,00115329;0,00225256;0,00201606;0,0024472;0,00246744;0,00204897;0,00193293;0,00181046;0,00246422;0,00177388;0,00226138;0,00188835;0,00191468;0,00212856;0,00222583;0,00173971;0,00160263;0,00193396;0,00157132;0,00177486;0,00117706;0,00230313;0,00230476
3;NC_072852.1;2000000;3000000;0,00105852;0,00114432;0,00111371;1,15167e-05;0,00114073;0,00110461;0,00109395;0,000982225;1,53817e-05;1,6049e-05;1,98187e-05;0,00135293;0,000977073;0,00121022;0,00115733;0,00108578;0,000992393;0,00133062;0,00111571;4,6597e-05;0,000984425;1,25503e-05;0,0012153;0,00133034;0,00126162;0,00116728;0,00111069;0,00136092;0,00119727;1,45287e-05;0,00124492;1,76319e-06;0,00123313;0,00111984;1,69176e-05;0,00134771;0,00118173
4;NC_072852.1;3000000;4000000;0,000993853;0,00123534;0,00121462;2,48671e-05;0,00119312;0,00107626;0,000943538;0,00118698;3,347e-05;2,17758e-05;3,10714e-05;0,0013079;0,00116279;0,00126349;0,000981803;0,0010025;0,00120339;0,00126603;0,00117108;0,00125391;0,00124639;0,00127528;0,00131888;0,0011304;0,00107581;0,000966926;0,00105082;0,00111534;0,000930651;0,00124921;0,00115357;1,61756e-05;0,00118921;0,000918788;2,18e-05;0,0012128;0,00112952
5;NC_072852.1;4000000;5000000;0,000861251;0,00137262;0,000975877;1,69301e-05;0,00114081;0,00115858;0,00126746;0,00114389;0,000989092;0,000875869;0,000606379;0,00105076;0,0010604;0,000967859;0,000910977;0,000884685;0,00109819;0,00105738;0,00109261;0,00124;0,00115205;0,00114472;0,000354186;0,00103747;0,0010469;0,00119921;0,000924323;0,000851054;0,0011798;0,0011894;0,00113297;0,000783663;0,00126848;0,00121618;1,64216e-05;0,00122443;0,000616685
6;NC_072852.1;5000000;6000000;0,00102183;0,00100199;0,000919295;4,0199e-05;0,000726159;0,000743992;0,000902764;0,000958925;0,000760626;0,000939325;0,0010695;0,000995929;0,00102964;0,000908651;0,000802504;0,00104438;0,00100806;0,000731605;0,000682245;0,000989658;0,00100295;0,000957106;8,62296e-05;0,00111168;0,00108007;0,000909409;0,00106384;0,00115131;0,000750997;0,000920374;0,000768739;0,000786455;0,00101179;0,000991749;4,15513e-05;0,000980958;0,000990102
7;NC_072852.1;6000000;7000000;0,000757835;0,000733934;0,000961978;3,11685e-05;0,000837802;0,000872474;0,000764489;0,000809134;0,000949088;0,000946583;0,000950851;0,000710094;0,000753982;0,000941428;0,000621525;0,00103343;0,000832087;0,00114093;0,00111036;0,000949176;0,000864561;0,000930278;6,63811e-05;0,000787965;0,000958127;0,00101144;0,00107938;0,00115363;0,000939006;0,000868829;0,0005686;0,000563216;0,000761413;0,000749099;2,61734e-05;0,000950643;0,000966593
8;NC_072852.1;7000000;8000000;0,00119255;0,000952416;0,00105533;1,54679e-05;0,000826648;0,000876937;0,00097018;0,00105786;0,00103126;0,000926113;0,000875741;0,00126387;0,00115136;0,00100833;0,001192;0,000832961;0,00103636;0,00059749;0,000590804;0,000955126;0,00109126;0,000928015;6,15784e-05;0,000927179;0,00114573;0,000984853;0,000852494;0,000980179;0,000921135;0,00115733;0,000956096;0,000963514;0,000872326;0,000815395;2,03551e-05;0,000913046;0,000869797
9;NC_072852.1;8000000;9000000;0,00088509;0,000858716;0,000812919;1,38597e-05;0,00082761;0,000931547;0,00092981;0,000882466;0,000917117;0,000835689;0,000846055;0,000880506;0,000981048;0,000772889;0,00102718;0,000819441;0,000926806;0,000927574;0,000821567;0,000875583;0,000966796;0,000795798;5,67615e-05;0,000646583;0,00080303;0,00105864;0,000937577;0,000728118;0,000852322;0,000879673;0,000934613;0,0010259;0,000926924;0,000989012;1,81571e-05;0,000827415;0,000740278
10;NC_072852.1;9000000;10000000;0,000940676;0,000881299;0,000990108;3,1897e-05;0,000707624;0,00099736;0,000814024;0,000907046;0,00114981;0,00097999;0,00122037;0,000923038;0,000973438;0,00107868;0,00105679;0,000906678;0,000872467;0,000732215;0,000725818;0,000969716;0,000640213;0,000953149;7,96935e-05;0,000994206;0,00100895;0,000628327;0,000907801;0,00102462;0,000958098;0,000929133;0,000934443;0,000944;0,000722187;0,00100767;1,24619e-05;0,000535562;0,00118834
