;Scaffold;BEGIN;END;EB1_S114;EB11_S84;EB12_S85;EB13_S86;EB14_S87;EB15_S88;EB16_S89;EB17_S90;EB18_S91;EB19_S92;EB2_S115;EB20_S93;EB21_S94;EB22_S95;EB24_S96;EB25_S97;EB26_S98;EB27_S99;EB28_S100;EB29_S101;EB3_S116;EB30_S102;EB31_S103;EB32_S104;EB33_S105;EB34_S106;EB35_S107;EB37_S108;EB38_S109;EB39_S110;EB40_S111;EB41_S112;EB42_S113;EB6_S117;EB7_S118;EB8_S119;EB9_S83
1;NC_072852.1;0;250000;0,00172431;0,0023376;0,00209578;0,00159064;0,00214394;0,00184097;0,00216126;0,00196121;0,00188474;0,00128478;0,00185677;0,00182204;0,00120587;0,000903397;0,00134931;0,0016373;0,00200545;0,00219033;0,00108381;0,00147762;0,00219102;0,00117808;0,00132458;0,0019234;0,00174775;0,00166745;0,00259679;0,00258709;0,0025208;0,00127033;0,00119966;0,00296343;0,00244675;0,0015659;0,00105538;0,00175532;0,000940892
2;NC_072852.1;250000;500000;0,000973853;0,0012446;0,00129203;0,00124853;0,00123505;0,00127849;0,00120203;0,000965846;0,00119372;0,00124565;0,00125775;0,00110043;2,27604e-05;0,000202379;0,00125378;0,00101674;0,00097855;0,00108141;1,70783e-05;3,12022e-05;0,00119456;2,01248e-05;0,00140592;0,00133513;0,0012221;0,00121764;0,00127745;0,0012355;0,00124378;1,09805e-05;1,83605e-05;0,000938383;0,00112781;0,000990622;0,00126636;0,0011896;0,00123141
3;NC_072852.1;500000;750000;0,00260965;0,00259321;0,00231313;0,0026655;0,00200216;0,00273636;0,00277529;0,00234671;0,0025552;0,0026139;0,00242192;0,0021114;0,000734458;0,00310908;0,002637;0,00237668;0,00249323;0,00265235;0,000439443;0,000592983;0,00265657;0,00056522;0,00277142;0,00288717;0,00255818;0,00246419;0,00267252;0,00275048;0,00209896;0,000703266;0,000527745;0,002555;0,00269064;0,00255827;0,00255281;0,00265403;0,00254619
4;NC_072852.1;750000;1000000;0,0018698;0,00185851;0,000125457;0,00141467;0,000126828;0,00153516;0,00130099;0,00179864;9,95841e-05;0,00168494;0,00170303;0,000645611;0,0013439;0,00211439;0,00136328;0,00178141;0,00177865;0,00207;0,00144677;0,00136357;0,00194443;0,00135442;0,0016456;0,00186762;0,00149259;0,001722;0,0020813;0,00204818;0,000713475;0,00130267;0,000170285;0,00191741;0,00116585;0,00114852;0,00143754;0,00159355;0,0014781
5;NC_072852.1;1000000;1250000;0,00419464;0,00407251;0,00321505;0,00381175;0,00129065;0,00392766;0,0042317;0,00380415;0,00178656;0,00439252;0,00413159;0,00352893;0,00357193;0,00436067;0,00413839;0,0042516;0,00373215;0,00421545;0,00420251;0,00383569;0,00381644;0,00436625;0,00425843;0,00405;0,00392185;0,00329654;0,0038979;0,00424429;0,00377159;0,00404949;0,0018912;0,00439206;0,00101976;0,00139064;0,00422364;0,00411313;0,00444185
6;NC_072852.1;1250000;1500000;0,00311227;0,00295561;0,00233853;0,00103773;0,00336379;0,00315886;0,00331933;0,00279885;0,00173969;0,00201393;0,00152118;0,00271923;0,00156795;0,00260426;0,00115239;0,00296052;0,00332954;0,00322985;0,00343604;0,00291603;0,00313178;0,00307484;0,00323991;0,000744584;0,00292662;0,00285761;0,00125067;0,00190993;0,00339386;0,00269805;0,00302667;0,00313617;0,00271332;0,00305764;0,00131256;0,0036369;0,00300173
7;NC_072852.1;1500000;1750000;0,00130483;0,0016183;0,00130226;5,34158e-05;0,0011522;0,00110914;0,00145604;0,000692758;0,000153163;2,3955e-05;8,41257e-05;0,00121574;0,00110476;0,000320829;6,53223e-05;0,00135703;0,000921265;0,00169481;0,00147121;0,00111218;0,000903034;0,0009032;0,0015392;0,00114785;0,00127796;0,00106273;0,00145088;0,00120235;0,00125623;0,000841806;0,00129363;0,00108162;0,00120192;0,00139205;5,64008e-05;0,000995004;0,00135131
8;NC_072852.1;1750000;2000000;0,00138838;0,00137394;0,00133641;4,89396e-05;0,00116224;0,00097612;0,00126402;0,000678608;4,10437e-05;7,08003e-05;4,06264e-05;0,00125461;0,00111968;0,00123524;1,69605e-05;0,00106949;0,000805497;0,0012342;0,0012362;0,00117435;0,000725133;7,09848e-05;0,00122935;0,00138709;0,0012511;0,000999589;0,00115275;0,00146352;0,00132316;1,16253e-05;0,000702916;6,88128e-05;0,0013662;0,00118735;3,45898e-05;0,0011775;0,00129541
9;NC_072852.1;2000000;2250000;0,00119525;0,000904603;0,00076314;4,70409e-06;0,000754127;0,000891484;0,00069167;0,00115488;3,49392e-05;2,36976e-05;4,3191e-05;0,00143851;0,00019343;0,000978011;0,000681021;0,00105631;0,00123902;0,00116101;0,001195;0,000169922;0,00119141;3,63994e-05;0,000909079;0,00122794;0,000994338;0,000934101;0,00109931;0,00126783;0,000993183;1,93234e-05;0,000770694;4,21372e-06;0,000920488;0,00068637;3,05475e-05;0,00136265;0,0010546
10;NC_072852.1;2250000;2500000;0,000722689;0,00139433;0,00108733;8,58156e-06;0,00118996;0,0010104;0,00114821;0,00058352;7,70341e-07;2,96065e-06;1,13236e-05;0,0010347;0,000905055;0,00129219;0,00139528;0,00117735;0,0005325;0,00131019;0,00109196;1,30449e-05;0,000593403;1,18291e-05;0,00112377;0,000961117;0,00116908;0,00130995;0,00116577;0,0010276;0,00136469;5,27057e-06;0,00125117;5,03305e-06;0,000872455;0,00122695;9,02439e-06;0,00101138;0,000913109
11;NC_072852.1;2500000;2750000;0,000808667;0,00145203;0,00154705;2,38272e-05;0,00117166;0,00129339;0,00137128;0,000783296;3,09565e-05;1,27733e-05;1,80961e-05;0,00158032;0,00126043;0,00156188;0,00136185;0,00129883;0,000808957;0,00119726;0,0014384;5,50698e-06;0,000777905;6,89698e-06;0,00133249;0,00169507;0,00137399;0,00134486;0,0013529;0,00162998;0,00128597;2,65904e-05;0,00152514;7,52793e-08;0,00172677;0,00135434;2,19903e-05;0,00162918;0,00143672
12;NC_072852.1;2750000;3000000;0,00148126;0,000823141;0,00103287;6,70225e-06;0,00138731;0,00120898;0,0011347;0,00139108;2,24065e-06;2,4662e-05;3,10881e-06;0,00133021;0,00146639;0,000971648;0,0011493;0,000787251;0,00138606;0,00160731;0,000716459;2,79067e-06;0,00137842;4,72729e-07;0,00144467;0,00141615;0,00147675;0,00107799;0,000814582;0,00151436;0,00112234;2,60578e-06;0,00143486;1,13555e-06;0,00134879;0,00115898;7,78114e-06;0,00136348;0,00132043
13;NC_072852.1;3000000;3250000;0,0013347;0,0014689;0,00155518;5,72555e-06;0,00153418;0,0012711;0,0015036;0,00149629;1,20299e-05;2,08472e-05;1,87585e-05;0,00149689;0,00135872;0,00147646;0,00109232;0,00149913;0,00156225;0,00167408;0,00150301;0,00145052;0,00156931;0,00150715;0,00131901;0,00143601;0,00153627;0,000841233;0,00156309;0,00140288;0,0011468;0,00138271;0,00151556;9,01599e-06;0,00123998;0,00146498;9,14047e-06;0,00150084;0,00124729
14;NC_072852.1;3250000;3500000;0,000772744;0,00116828;0,00109078;3,53886e-05;0,00113088;0,00097005;0,00107935;0,00102701;2,67316e-05;5,46196e-05;9,25673e-06;0,00130646;0,00113403;0,00123132;0,00105598;0,000435882;0,00109019;0,00130749;0,0010439;0,00137845;0,00114627;0,00137579;0,00139317;0,00120797;0,00116591;0,00102946;0,000461243;0,00109993;0,00103995;0,00139422;0,0010815;1,33622e-05;0,0012868;0,00101947;2,13883e-05;0,0013426;0,00116126
15;NC_072852.1;3500000;3750000;0,000961793;0,000992502;0,00103791;4,37996e-05;0,00069091;0,000851684;0,000533767;0,00106352;4,02338e-06;2,07394e-06;1,00437e-05;0,00110241;0,00103719;0,00103812;0,000626988;0,000751424;0,00101468;0,000871504;0,000896152;0,00103045;0,00105571;0,00102827;0,00111323;0,00112545;0,000665711;0,000776259;0,000749763;0,000950428;0,000654784;0,00104063;0,00063756;1,80314e-05;0,000912217;0,00053084;2,54627e-05;0,000984231;0,0010647
16;NC_072852.1;3750000;4000000;0,000894204;0,00131193;0,0011701;1,65002e-05;0,00146385;0,00121574;0,000662815;0,00113313;9,04888e-05;1,16726e-05;8,80309e-05;0,00132199;0,00109993;0,00127884;0,0011334;0,00132945;0,00114539;0,00120713;0,00122855;0,00115362;0,0012213;0,00120703;0,00143219;0,000768915;0,000909376;0,0012187;0,00141592;0,000998424;0,000887973;0,00117403;0,00136917;2,42217e-05;0,00130513;0,000647225;3,15646e-05;0,00100437;0,00104485
17;NC_072852.1;4000000;4250000;3,306e-05;0,000969904;0,000692024;3,30274e-05;0,000952829;0,000963505;0,000899822;0,000614759;0,000619265;1,86687e-05;0,000248362;0,000821756;0,000853291;0,000546992;0,000364786;0,000944273;0,000635823;0,000893761;0,000984001;0,00111182;0,000617027;0,00101027;0,000981039;0,000732504;0,000989503;0,00100568;0,000929416;0,000996187;0,0009382;0,00105979;0,000872471;2,62466e-05;0,000999785;0,000946579;2,40445e-05;0,00112131;0,000386318
18;NC_072852.1;4250000;4500000;0,00103226;0,00116755;0,000820129;6,66435e-06;0,000925279;0,000948737;0,00117358;0,00094008;0,000833949;0,000840436;0,000802359;0,000981624;0,000992406;0,000912241;0,000560218;0,000803478;0,000841906;0,00110014;0,00121204;0,00123558;0,000930565;0,00109577;0,000267874;0,000988172;0,000791128;0,00105699;0,000853589;0,000839219;0,00116501;0,00113825;0,00094964;0,000344711;0,00113427;0,00101196;2,54422e-05;0,00118482;0,000753612
19;NC_072852.1;4500000;4750000;0,00103149;0,00178847;0,00151175;8,51142e-06;0,00133198;0,00133386;0,00141471;0,00176896;0,00144953;0,00146129;0,000828097;0,0010539;0,00105357;0,00108985;0,00140443;0,000603211;0,00178323;0,00101468;0,00097305;0,0014739;0,00183202;0,00136608;5,30538e-05;0,00123082;0,00121273;0,00135452;0,000675733;0,000264997;0,00156959;0,00142806;0,00137309;0,0015564;0,00147911;0,00150522;3,49684e-08;0,00144528;0,000772005
